timestamp_esp32,timestamp_recebido,latencia_segundos,temperatura,umidade
1748992606,1748992608.207137,2.207137107849121,25.7,69
1748992636,1748992639.4557364,3.4557363986968994,25.9,74
1748992656,1748992658.5370097,2.5370097160339355,26,75
1748992677,1748992678.763721,1.763720989227295,27.4,89
1748992686,1748992689.309625,3.3096249103546143,27,89
1748992696,1748992698.4748187,2.474818706512451,26.8,89
1748992707,1748992708.3172474,1.3172473907470703,26.5,87
1748992717,1748992718.2992053,1.2992053031921387,26.4,86
1748992727,1748992728.6106634,1.6106634140014648,26.2,85
1748992737,1748992738.3383267,1.3383266925811768,26,82
1748992757,1748992758.7622797,1.762279748916626,25.9,78
1748992767,1748992768.4082282,1.4082281589508057,26,77
1748992777,1748992778.3521705,1.352170467376709,25.9,75
1748992797,1748992798.4997425,1.4997425079345703,25.8,73
1748992807,1748992808.3425725,1.3425724506378174,25.9,72
1748992827,1748992828.3819125,1.3819124698638916,25.8,71
1748992967,1748992968.8719153,1.871915340423584,25.7,69
1748993047,1748993048.7260945,1.7260944843292236,25.6,69
1748993087,1748993089.02868,2.0286800861358643,25.7,69
1748993107,1748993108.9207032,1.9207031726837158,25.6,69
1748993117,1748993118.8665395,1.866539478302002,25.7,69
1748993257,1748993262.8825145,5.882514476776123,25.6,69
1748993267,1748993268.7604923,1.7604923248291016,25.7,69
1748993387,1748993389.1652083,2.165208339691162,25.6,68
1748993397,1748993398.9689605,1.9689605236053467,25.7,69
1748993487,1748993489.0996993,2.0996992588043213,25.6,69
1748993497,1748993499.1101117,2.110111713409424,25.7,69
1748993507,1748993509.4831972,2.4831972122192383,25.8,69
1748993607,1748993610.361714,3.3617138862609863,25.7,68
1748993617,1748993619.1596715,2.1596715450286865,25.8,69
1748993687,1748993689.2011576,2.201157569885254,25.7,69
1748993707,1748993709.619504,2.619503974914551,25.8,69
1748993757,1748993759.4977226,2.497722625732422,25.9,68
1748993767,1748993769.311707,2.311707019805908,25.8,68
1748993787,1748993789.4103165,2.4103164672851562,25.9,68
1748993827,1748993829.7725556,2.7725555896759033,25.8,68
1748993837,1748993839.4171066,2.4171066284179688,25.9,68
1748993847,1748993849.4260206,2.426020622253418,25.8,68
1748993877,1748993879.5308702,2.530870199203491,25.9,68
1748993887,1748993889.389057,2.389056921005249,25.8,68
1748993977,1748993980.5273962,3.5273962020874023,25.7,68
1748993987,1748993989.490291,2.490291118621826,25.8,68
1748994017,1748994020.8556476,3.855647563934326,25.7,68
1748994027,1748994029.4326901,2.432690143585205,25.8,68
1748994037,1748994039.5034027,2.5034027099609375,25.7,68
1748994048,1748994051.6683178,3.6683177947998047,25.8,68
1748995435,1748995436.9462893,1.946289300918579,25.8,69
1748995505,1748995507.2551472,2.2551472187042236,26,74
1748995545,1748995547.0812533,2.0812532901763916,25.9,71
1748995635,1748995637.2887783,2.288778305053711,25.8,69
1748995645,1748995647.0357888,2.0357887744903564,25.9,69
1748995665,1748995667.1191459,2.1191458702087402,25.9,68
1748995675,1748995676.8944077,1.8944077491760254,25.8,69
1748995695,1748995697.221706,2.221705913543701,25.9,68
1748995705,1748995707.0502057,2.050205707550049,25.8,68
1748995896,1748995898.0416317,2.0416316986083984,25.7,68
1748995905,1748995907.7896914,2.78969144821167,25.8,68
1748996127,1748996129.1735442,2.17354416847229,25.8,68
1748996166,1748996167.803715,1.8037149906158447,25.7,68
1748996265,1748996267.707041,2.707041025161743,25.6,68
1748996295,1748996297.4077225,2.4077224731445312,25.7,68
1748996305,1748996307.391829,2.391829013824463,25.6,68
1748996355,1748996357.9297478,2.9297478199005127,25.5,68
1748996375,1748996377.6616187,2.661618709564209,25.6,68
1748996405,1748996407.467939,2.4679388999938965,25.5,68
1748996415,1748996417.5006835,2.500683546066284,25.6,68
1748996446,1748996448.0955591,2.0955591201782227,25.5,68
1748996456,1748996458.1462593,2.146259307861328,25.6,68
1748996486,1748996488.323065,2.3230650424957275,25.5,68
1748996496,1748996498.0731611,2.0731611251831055,25.6,68
1748996507,1748996509.1844146,2.1844146251678467,25.5,68
1748996516,1748996518.073966,2.0739660263061523,25.6,68
1748996626,1748996628.3622246,2.362224578857422,25.4,68
1748996636,1748996638.2360306,2.2360305786132812,25.5,68
1748996686,1748996688.2461836,2.2461836338043213,25.4,68
1748996696,1748996698.4587579,2.4587578773498535,25.5,68
1748996746,1748996748.543939,2.5439391136169434,25.5,69
1748996756,1748996758.2910888,2.291088819503784,25.4,69
1748996776,1748996778.281923,2.2819230556488037,25.5,69
1748996786,1748996788.466789,2.4667890071868896,25.4,69
1748997106,1748997108.2637913,2.26379132270813,25.5,69
1748997116,1748997118.2246964,2.224696397781372,25.4,69
1749488754,1749488758.8356624,4.835662364959717,25.2,71
1749488764,1749488768.758397,4.758397102355957,25.1,70
1749488965,1749488968.8501546,3.8501546382904053,25.8,77
1749488975,1749488979.028576,4.028575897216797,26,80
1749488985,1749488989.1633294,4.163329362869263,25.8,80
1749488995,1749488998.9965663,3.9965662956237793,25.5,78
1749489005,1749489008.9502277,3.950227737426758,25.4,76
1749489035,1749489039.5889082,4.5889081954956055,25.2,70
1749489055,1749489059.2459517,4.2459516525268555,25.1,69
1749490065,1749490068.20161,3.2016100883483887,25.9,82
1749490075,1749490078.336955,3.3369550704956055,26.4,86
1749490085,1749490088.424563,3.424562931060791,26.2,88
1749490095,1749490098.3055067,3.305506706237793,26,89
1749490105,1749490108.150075,3.1500749588012695,25.7,87
1749490125,1749490128.1484096,3.148409605026245,25.4,83
1749490135,1749490138.2433429,3.243342876434326,25.3,80
